field_key,category_name,definition,requiredness_lesson_player_supabase,requiredness_lv2,affects_lineage,notes
acceptedCorrections,Activities & Interaction,Canonical correction list for ACT-019 error-correction responses.,,,lv2|player|supabase,
activityTypes,Activities & Interaction,Lesson/group planning summary of activity families; not a slide runtime identity key.,,,lv2|supabase,
audioA,Activities & Interaction,ACT-003 first comparison clip for minimal-pair interaction.,,,lv2|player|supabase,
audioB,Activities & Interaction,ACT-003 second comparison clip for minimal-pair interaction.,,,lv2|player|supabase,
audioClips,Activities & Interaction,Ordered ACT-025 clip list for audio-sequencing tasks.,,,lv2|player|supabase,
audioPrompt,Activities & Interaction,Authored prompt-audio payload for selected ACT lanes; CMS bridge can copy it into canonical audio when audio is absent.,,,lv2|player|supabase,
avatarDialogues,Activities & Interaction,JSON array for ACT-023 avatar dialogue turns consumed directly by the Player.,,,lv2|player|supabase,
blanks,Activities & Interaction,"Structured blank rules for inline gap-fill content (e.g., blank positions and accepted alternatives).",,,lv2|player|supabase,
categoryLabels,Activities & Interaction,"Category titles shown above ACT-013 containers, and labels for ACT-014 categories.",,,lv2|player|supabase,
choiceElements,Activities & Interaction,Options for multiple-choice (label + optional audio per option).,,,lv2|player|supabase,
correctAnswer,Activities & Interaction,Correct answer for choice activities (typically a 1-based choice index for ACT-009/ACT-010).,,,lv2|player|supabase,
correctCurveId,Activities & Interaction,"Correct intonation curve (rising, falling, fall-rise) for ACT-004.",,,lv2|player|supabase,
correctOddIndex,Activities & Interaction,"Index of the correct ""odd one out"" option (ACT-012).",,,lv2|player|supabase,
correctOrderClips,Activities & Interaction,Correct order of audio clips (indices) for ACT-025.,,,lv2|player|supabase,
correctOrderWords,Activities & Interaction,Correct order for sentence reconstruction tokens (ACT-015).,,,lv2|player|supabase,
correctStressIndex,Activities & Interaction,Index of the correctly stressed syllable (ACT-002).,,,lv2|player|supabase,
errorIndex,Activities & Interaction,Index of the error in the incorrect sentence (ACT-019).,,,lv2|player|supabase,
imageUrl,Activities & Interaction,Canonical image URL used by ACT-024 visual puzzle/frame interaction.,,,player|supabase,
incorrectSentence,Activities & Interaction,Sentence with error for correction (ACT-019).,,,lv2|player|supabase,
intonationOptions,Activities & Interaction,"Set of valid intonation answer choices (rising, falling, fall-rise) for ACT-004.",,,lv2|player|supabase,
keywordThreshold,Activities & Interaction,Threshold for keyword matching (ACT-021).,,,lv2|player|supabase,
letterUnits,Activities & Interaction,Letter/chunk units presented in ACT-024 for word assembly.,,,lv2|player|supabase,
lines,Activities & Interaction,Canonical lines-native content lane for ACT-001/ACT-005 and related runtime rendering flows.,,,lv2|player|supabase,
matchPairs,Activities & Interaction,Left/right pairs for drag-and-drop match (ACT-013).,,,lv2|player|supabase,
maxRetries,Activities & Interaction,Maximum retry attempts allowed in ACT-024 before fail/lock behavior.,,,player|supabase,
maxWordCount,Activities & Interaction,Maximum word count for open production (ACT-022).,,,lv2|player|supabase,
minWordCount,Activities & Interaction,Minimum word count for open production (ACT-022).,,,lv2|player|supabase,
passThreshold,Activities & Interaction,Minimum threshold required for pass in ACT-024 interaction scoring.,,,player|supabase,
promptMode,Activities & Interaction,ACT-003 interaction mode selector (`same_different` or `select_word`).,,,lv2|player|supabase,
promptText,Activities & Interaction,Learner-facing prompt sentence/instruction text for response tasks.,,,lv2|player|supabase,
sentenceCards,Activities & Interaction,Sentence cards for tense sort (ACT-016). Provide text + correct_tense pairs.,,,lv2|player|supabase,
sentenceTokens,Activities & Interaction,Source sentence for sentence reconstruction (ACT-015). The CMS derives tokens and target order automatically.,,,lv2|player|supabase,
sentenceWithGaps,Activities & Interaction,"Gap payload for fill-in-blank activities. ACT-017 accepts plain text or JSON; ACT-018 expects JSON array of { sentence, gaps[] } objects.",,,lv2|player|supabase,
statement,Activities & Interaction,Statement for true/false (ACT-011).,,,lv2|player|supabase,
syllableBreakdown,Activities & Interaction,"Syllable breakdown for stress (ACT-001, ACT-002).",,,lv2|player|supabase,
targetKeywords,Activities & Interaction,Keywords for speech match (ACT-021).,,,lv2|player|supabase,
targetText,Activities & Interaction,Learner target utterance/text for speaking/listening production tasks.,,,lv2|player|supabase,
tenseBins,Activities & Interaction,"Category labels for tense sort (ACT-016), e.g., Present / Past / Future.",,,lv2|player|supabase,
word,Activities & Interaction,Target lexical item used in ACT-024 interaction.,,,lv2|player|supabase,
wordAudio,Activities & Interaction,ACT-024 target-word audio object tied to the puzzle word prompt.,,,player|supabase,
wordBank,Activities & Interaction,Word bank choices for ACT-018. Enter one word per line (or JSON array).,,,lv2|player|supabase,
propsJson,Activities & Interaction,"The canonical structured payload blob for an activity slide, containing all ACT-specific runtime fields plus the runtimeContractV1 envelope; the single source of truth for ACT interaction data - top-level duplicate keys are blocked by DB guard.",required - player fails closed if absent or empty,,player|supabase,DB trigger blocks top-level/propsJson collision; preflight requires non-empty and valid runtimeContractV1 inside.
aiInstructions,AI Generation & Prompting,"Instructions for AI (generation, feedback, etc.).",,,supabase,
exampleResponses,AI Generation & Prompting,Example learner responses for AI/feedback.,,,lv2|supabase,
expansionGuidelines,AI Generation & Prompting,Guidelines for when to expand content.,,,lv2|supabase,
forbiddenPatterns,AI Generation & Prompting,Patterns the AI must avoid.,,,supabase,
signatureMetaphors,AI Generation & Prompting,Preferred metaphor set used to keep lesson framing stylistically coherent.,,,supabase,
simplificationGuidelines,AI Generation & Prompting,Guidelines for simplifying content.,,,supabase,
styleConstraints,AI Generation & Prompting,Constraints for AI style.,,,supabase,
moduleAssessmentPlan,Assessment & Mastery,Module-level assessment plan.,,,supabase,
moduleMasteryRule,Assessment & Mastery,"Module mastery rule (completion, avg_score_threshold, capstone_required).",,,supabase,
moduleMasteryThreshold,Assessment & Mastery,Module-level mastery threshold.,,,supabase,
assessmentPlan,Assessment & Mastery,How mastery will be assessed for this lesson or group.,,,supabase,
successCriteria,Assessment & Mastery,Observable success outcomes used to verify objective attainment.,,,lv2|supabase,
isRequiredToPass,Assessment & Mastery,Whether passing this group is required.,,,lv2|supabase,
passRequiredForNext,Assessment & Mastery,Boolean progression gate requiring pass before advancing.,,,lv2|supabase,
passingScoreType,Assessment & Mastery,Group-level scoring mode used to interpret passingScoreValue.,,,lv2|supabase,
passingScoreValue,Assessment & Mastery,Numeric threshold value interpreted by passingScoreType.,,,lv2|supabase,
requiredScore,Assessment & Mastery,Numeric mastery threshold at lesson/group/slide contract lanes.,,,lv2|supabase,
maxAttempts,Assessment & Mastery,Maximum attempts before failure.,,,telemetry|lv2|supabase,
maxScoreValue,Assessment & Mastery,Maximum possible score.,,,lv2|supabase,
masteryRule,Assessment & Mastery,"How mastery is determined (percent_correct, raw_score, rubric_based, completion_only).",,,lv2|supabase,
masteryThreshold,Assessment & Mastery,Numeric threshold for mastery.,,,lv2|supabase,
audioId,Content & Media,Primary slide-level audio reference resolved by player audio loaders (legacy-compatible across many ACT lanes).,,,lv2|player|supabase,
subtitle,Content & Media,Subtitle text.,,,lv2|player|supabase,
textSubtype,Content & Media,"Text subtype (MOTIVATION, INSTRUCTION, EXPLANATION, EXAMPLE, FEEDBACK_SUMMARY).",,,player|supabase,
note,Content & Media,Optional note (e.g. below subtitle).,,,lv2|player|supabase,
body,Content & Media,"Main text content (short framing). Used for text slides, instructions, prompts.",,,lv2|player|supabase,
body1,Content & Media,Multi-paragraph text blocks for text slides.,,,lv2|player|supabase,
body2,Content & Media,Multi-paragraph text blocks for text slides.,,,lv2|player|supabase,
body3,Content & Media,Multi-paragraph text blocks for text slides.,,,lv2|player|supabase,
body4,Content & Media,Multi-paragraph text blocks for text slides.,,,lv2|player|supabase,
body5,Content & Media,Multi-paragraph text blocks for text slides.,,,lv2|player|supabase,
body6,Content & Media,Multi-paragraph text blocks for text slides.,,,lv2|player|supabase,
body7,Content & Media,Multi-paragraph text blocks for text slides.,,,lv2|player|supabase,
body8,Content & Media,Multi-paragraph text blocks for text slides.,,,lv2|player|supabase,
buttons,Content & Media,"JSON for button config (labels, actions).",,,lv2|player|supabase,
lessonEndMessage,Content & Media,Message shown at lesson end.,,,lv2|player|supabase,
lessonEndActions,Content & Media,JSON for end-of-lesson actions.,,,lv2|player|supabase,
primaryCtaAction,Content & Media,"Primary CTA action (start_lesson, continue).",,,lv2|player|supabase,
primaryCtaLabel,Content & Media,Label for primary CTA button.,,,lv2|player|supabase,
activityId,Identity & Lifecycle,"Activity Library type (ACT-001 through ACT-026). Strict new-authoring disable set: ACT-006, ACT-007, ACT-008.",,,telemetry|lv2|player|supabase,
groupId,Identity & Lifecycle,UUID of the group this slide belongs to.,,,telemetry|lv2|player|supabase,
groupName,Identity & Lifecycle,Display name of the parent group (read-only on slides).,,,lv2|player|supabase,
lastUpdatedAt,Identity & Lifecycle,Timestamp of last update.,,,supabase,
lastUpdatedBy,Identity & Lifecycle,User who last updated.,,,supabase,
lessonId,Identity & Lifecycle,UUID of the lesson.,,,telemetry|lv2|player|supabase,
moduleId,Identity & Lifecycle,UUID of the parent module.,,,lv2|supabase,
ownerTeam,Identity & Lifecycle,Team that owns the content.,,,supabase,
slideId,Identity & Lifecycle,Canonical slide identity key. Runtime instance trace key in telemetry (was slideUuid).,,,telemetry|lv2|supabase,
slug,Identity & Lifecycle,"A human-readable, URL-safe kebab-case identifier for the entity used as a stable reference key in routing and contract validation.",required - player contract requires non-empty slug at lesson and slide level,,player|supabase,"Non-empty string; format lowercase kebab-case; uniqueness scope: per-lesson for slides, per-module for lessons; treat as immutable in practice."
title,Identity & Lifecycle,"Canonical title field. Used at all entity levels: module, lesson, group, slide.",,,lv2|player|supabase,
version,Identity & Lifecycle,Entity lifecycle revision/version in CMS.,,,supabase,
visibility,Identity & Lifecycle,"Visibility (private, beta, public).",,,supabase,
sourceVersion,Identity & Lifecycle,Version of upstream source artifact used to generate/import this entity.,,,lv2|supabase,
type,Identity & Lifecycle,"Slide type (text, activity, etc.).",,,player|supabase,
instructions,Instructions & Flow,Instructions shown to the learner.,,,lv2|player|supabase,
allowRetry,Instructions & Flow,Whether the learner can retry after a wrong answer (hints/feedback).,,,lv2|player|supabase,
retryPolicy,Instructions & Flow,"Retry mode policy (e.g., unlimited/limited/none) controlling retry behavior.",,,lv2|supabase,
allowSkip,Instructions & Flow,Compatibility boolean for skip behavior; canonical control is `skipPolicy`.,,,lv2|player|supabase,
skipPolicy,Instructions & Flow,"Canonical skip-flow policy (`allow_all`, `allow_after_min_attempts`, `no_skip`) with precedence over `allowSkip`.",,,lv2|player|supabase,
minAttemptsBeforeSkip,Instructions & Flow,Conditional threshold used only when `skipPolicy=allow_after_min_attempts`; otherwise null.,,,lv2|player|supabase,
autoAdvance,Instructions & Flow,Whether the slide advances automatically when complete.,,,lv2|player|supabase,
delayMs,Instructions & Flow,Delay in ms before auto-advance or next action.,,,lv2|player|supabase,
recommendedNextStep,Instructions & Flow,"Recommended next step (repeat_lesson, next_lesson, review_mistakes, exit).",,,lv2|player|supabase,
keyTakeawaysLesson,"Links, Dependencies & Summaries",Key takeaways for the lesson.,,,lv2|player|supabase,
keyTakeawaysSlide,"Links, Dependencies & Summaries",Key takeaways for the slide.,,,lv2|player|supabase,
learningGoalPreviewModule,"Links, Dependencies & Summaries",Preview of module goals for learner.,,,,
learningGoalPreviewLesson,"Links, Dependencies & Summaries",Preview of lesson goals for learner.,,,supabase,
learningGoalPreviewGroup,"Links, Dependencies & Summaries",Preview of group goals for learner.,,,supabase,
linkedModules,"Links, Dependencies & Summaries",Modules linked to this module.,,,supabase,
linkedGroups,"Links, Dependencies & Summaries",Groups linked to this lesson.,,,supabase,
linkedResources,"Links, Dependencies & Summaries",External resources.,,,supabase,
timeExpectationLesson,"Links, Dependencies & Summaries",Expected time for lesson (minutes).,,,lv2|supabase,
timeExpectationGroup,"Links, Dependencies & Summaries",Expected time for group (minutes).,,,lv2|supabase,
timeExpectationActivity,"Links, Dependencies & Summaries",Expected time for activity (minutes).,,,lv2|player|supabase,
estimatedMinutes,"Links, Dependencies & Summaries",Expected duration in minutes.,,,lv2|player|supabase,
culturalContext,Localization,Cultural context for the content.,,,supabase,
defaultLang,Localization,"Default language (english, french, both).",,,supabase,
l1InterferenceNotes,Localization,Notes on L1 interference (e.g. French L1).,,,supabase,
registerTone,Localization,"Register/tone (formal, neutral, informal, mixed).",,,supabase,
registerVariants,Localization,"Register variants (spoken, written, academic, business, casual).",,,supabase,
targetLanguage,Localization,Target language.,,,supabase,
breakingChangeGuard,"Operations, Provenance & Governance",Flag to prevent accidental breaking changes.,,,supabase,
changeImpactAssessment,"Operations, Provenance & Governance",Notes on impact of changes.,,,supabase,
diffLog,"Operations, Provenance & Governance",JSON log of changes.,,,supabase,
extractabilityTier,"Operations, Provenance & Governance","How standalone the content is (HIGH, MEDIUM, LOW).",,,lv2|supabase,
ingestPayload,"Operations, Provenance & Governance",Raw JSON from pipeline ingestion.,,,lv2|supabase,
ingestSource,"Operations, Provenance & Governance","Source of ingestion (lv2_pipeline, manual, import, ai_generate).",,,lv2|supabase,
manualOverrideJson,"Operations, Provenance & Governance",Manual overrides (JSON).,,,supabase,
metadata,"Operations, Provenance & Governance",Arbitrary JSON metadata.,,,supabase,
publishNotes,"Operations, Provenance & Governance",Publishing/release note field (operational workflow metadata).,,,supabase,
reviewRequired,"Operations, Provenance & Governance",Workflow gate indicating human review is required before publish.,,,supabase,
runtimeContractV1,"Operations, Provenance & Governance","The versioned interaction contract nested inside propsJson that declares the activity's tool, command row controls, and active status - required for the player to mount the correct tool at runtime.",required on create and update for all activity_slides,,player|supabase,"Must contain contractVersion=""v1"", interaction.activity_row_tool (recognized tool), interaction.command_row_controls (array), interaction.status (""active""|""inactive""); validated at preflight and player contract boundary."
scaffoldingPlan,Pedagogy & Scaffolding,Macro instructional scaffolding strategy across lesson phases.,,,supabase,
pedagogicalStrategy,Pedagogy & Scaffolding,"Strategy (explicit, guided_discovery, task_based, etc.).",,,supabase,
differentiationPaths,Pedagogy & Scaffolding,Paths for different learner levels.,,,lv2|supabase,
differentiationStrategies,Pedagogy & Scaffolding,Strategies to adapt content.,,,lv2|supabase,
remediationGuidance,Pedagogy & Scaffolding,Narrative remediation guidance for instructors/content adaptation.,,,supabase,
remediationPaths,Pedagogy & Scaffolding,Structured remediation routing paths/references.,,,supabase,
discourseFocus,Pedagogy & Scaffolding,"Discourse-level focus (e.g. cohesion, coherence).",,,supabase,
grammarFocus,Pedagogy & Scaffolding,Grammar focus.,,,supabase,
pronunciationFocus,Pedagogy & Scaffolding,Pronunciation focus.,,,supabase,
vocabularyTheme,Pedagogy & Scaffolding,Vocabulary theme.,,,supabase,
extraPracticeNotes,Pedagogy & Scaffolding,Notes for extra practice.,,,player|supabase,
pacingNotes,Pedagogy & Scaffolding,Notes on pacing.,,,supabase,
practiceProgression,Pedagogy & Scaffolding,How practice progresses.,,,supabase,
moduleGoal,Purpose & Outcomes,Module-level goal.,,,supabase,
moduleOutcomes,Purpose & Outcomes,Module-level outcomes.,,,supabase,
groupGoal,Purpose & Outcomes,Group-level learning goal.,,,lv2|supabase,
groupSummary,Purpose & Outcomes,Summary of the group's purpose.,,,lv2|supabase,
description,Purpose & Outcomes,Module description text for curriculum/editor context.,,,supabase,
activityDescription,Purpose & Outcomes,Narrative description of lesson-level activity intent and expected learner task arc.,,,supabase,
learningObjectives,Purpose & Outcomes,What the learner will achieve.,,,supabase,
competencyTags,Purpose & Outcomes,Skills taxonomy tags.,,,supabase,
tags,Purpose & Outcomes,General taxonomy/discovery tags for indexing and filtering.,,,supabase,
coreTopics,Purpose & Outcomes,Main topics covered.,,,supabase,
topicCategory,Purpose & Outcomes,Primary topical classification bucket for content.,,,supabase,
keywords,Purpose & Outcomes,Comma-separated keywords.,,,supabase,
audienceNotes,"Scope, Prerequisites & Targeting","Notes about target audience (level, context, assumptions).",,,supabase,
level,"Scope, Prerequisites & Targeting",Single 1-10 band level.,,,telemetry|lv2|supabase,
cefrLevel,"Scope, Prerequisites & Targeting",Single CEFR level (A0–C2). External proficiency standard.,,,telemetry|supabase,
levelMax,"Scope, Prerequisites & Targeting",Maximum band (1–10). Internal scale for proficiency.,,,telemetry|supabase,
cefrMax,"Scope, Prerequisites & Targeting",Maximum CEFR level in range (A0–C2).,,,telemetry|supabase,
levelMin,"Scope, Prerequisites & Targeting",Minimum band (1–10). Internal scale for proficiency.,,,telemetry|supabase,
cefrMin,"Scope, Prerequisites & Targeting",Minimum CEFR level in range (A0–C2).,,,telemetry|supabase,
diagnosticChecks,"Scope, Prerequisites & Targeting",Checks to assess learner readiness.,,,supabase,
prerequisiteModules,"Scope, Prerequisites & Targeting",Modules that must be completed first.,,,supabase,
prerequisites,"Scope, Prerequisites & Targeting",Text description of prerequisites.,,,lv2|supabase,
priorLessons,"Scope, Prerequisites & Targeting",Lessons that should be completed first.,,,supabase,
prerequisiteEdges,"Scope, Prerequisites & Targeting",L6 edges that must be mastered first.,,,telemetry|lv2|supabase,
prerequisiteNodes,"Scope, Prerequisites & Targeting",L6 nodes that must be mastered first.,,,telemetry|lv2|supabase,
prerequisiteSlices,"Scope, Prerequisites & Targeting",L6 slices that must be mastered first.,,,telemetry|lv2|supabase,
orderIndex,Structure & Sequencing,"Position in sequence (lesson, group, or slide).",,,lv2|supabase,
capstoneLesson,Structure & Sequencing,Lesson that serves as the module capstone.,,,supabase,
lessonSequenceRules,Structure & Sequencing,Rules for lesson ordering.,,,supabase,
requiredLessons,Structure & Sequencing,Lessons required before this module.,,,supabase,
optionalLessons,Structure & Sequencing,Optional lessons in the module.,,,supabase,
groupPlan,Structure & Sequencing,Planned structure of groups.,,,supabase,
groupSlidesPlan,Structure & Sequencing,Planned slides in the group (JSON or list).,,,lv2|supabase,
groupType,Structure & Sequencing,"Group type (ORIENTATION, INPUT, SCAFFOLDED_PRACTICE, TARGET_PERFORMANCE, INTEGRATION).",,,lv2|supabase,
progressionNotes,Structure & Sequencing,Notes on progression.,,,supabase,
purposeRelationshipTag,Structure & Sequencing,"Relationship to purpose (PREPARE_FOR_PURPOSE, SUPPORT_FIRST_CONTROL, MEASURE_FIRST_CONTROL, STABILIZE_TRANSFER).",,,lv2|supabase,
sequenceType,Structure & Sequencing,"Module sequence type (linear, flexible, adaptive).",,,supabase,
slidePlan,Structure & Sequencing,High-level slide sequence blueprint at lesson/group planning scope.,,,lv2|supabase,
teacherNotes,Teacher Guidance,Implementation notes for teachers/facilitators at delivery time.,,,supabase,
teacherOverview,Teacher Guidance,High-level teacher-facing overview of lesson/group instructional intent and flow.,,,supabase,
notesForTeacherOrAI,Teacher Guidance,Operational guidance note passed through pipeline for teacher/AI routing decisions.,,,lv2|supabase,
authorNotes,Teacher Guidance,Author notes.,,,,
anecdoteOrMemoryHook,Teacher Guidance,Short story or mnemonic to help learners remember.,,,supabase,
commonMisconceptions,Teacher Guidance,Likely learner misunderstandings/errors used for remediation and teacher preparation.,,,supabase,
shortSummaryTeacherModule,Teacher Guidance,Short summary for teacher (module).,,,,
shortSummaryLessonAdmin,Teacher Guidance,Internal admin-facing short lesson summary.,,,supabase,
shortSummaryTeacherLesson,Teacher Guidance,Short summary for teacher (lesson).,,,supabase,
shortSummaryLessonStudent,Teacher Guidance,Learner-facing short lesson summary.,,,supabase,
shortSummaryTeacherGroup,Teacher Guidance,Short summary for teacher (group).,,,supabase,
shortSummaryTeacherActivity,Teacher Guidance,Short summary for teacher (activity).,,,supabase,
shortSummaryTeacherSlide,Teacher Guidance,Short summary for teacher (slide).,,,supabase,
canonicalNodeKey,Telemetry & Analytics,L6 canonical node key for telemetry.,,,telemetry|lv2|player|supabase,
expectedCompletionRate,Telemetry & Analytics,Expected completion rate (percent).,,,telemetry|lv2|supabase,
expectedModuleDurationMinutes,Telemetry & Analytics,Expected module duration.,,,telemetry|supabase,
expectedTimeOnTask,Telemetry & Analytics,Expected time on task (minutes).,,,telemetry|supabase,
experimentFlag,Telemetry & Analytics,Flag for A/B or feature experiments.,,,telemetry|lv2|supabase,
targetedEdges,Telemetry & Analytics,L6 graph edges associated with targeting/coverage.,,,telemetry|lv2|supabase,
targetedNodes,Telemetry & Analytics,Expanded set of L6 nodes associated with targeting/coverage.,,,telemetry|lv2|supabase,
targetedSlices,Telemetry & Analytics,L6 slices associated with targeting/coverage.,,,telemetry|lv2|supabase,
targetNodeKeys,Telemetry & Analytics,Canonical L6 node keys directly targeted by this entity.,,,telemetry|lv2|supabase,
telemetryTags,Telemetry & Analytics,Analytics/telemetry labeling tags for downstream event segmentation.,,,telemetry|lv2|supabase,
